F,0.472,0.658,0.913,1.262,1.796,2.748,5.186,octile,pwv,Tsys
96.800,64.768,65.224,65.896,66.760,68.151,70.546,76.769,7,5.186,76.769
96.900,64.759,65.217,65.892,66.757,68.150,70.549,76.782,7,5.186,76.782
97.000,64.752,65.212,65.886,66.752,68.148,70.551,76.794,7,5.186,76.794
97.100,64.750,65.209,65.886,66.753,68.151,70.558,76.811,7,5.186,76.811
97.200,64.750,65.210,65.887,66.756,68.157,70.566,76.829,7,5.186,76.829
97.300,64.750,65.212,65.889,66.760,68.163,70.577,76.850,7,5.186,76.850
97.400,64.752,65.215,65.894,66.766,68.171,70.588,76.871,7,5.186,76.871
97.500,64.756,65.219,65.899,66.772,68.179,70.601,76.892,7,5.186,76.892
97.600,64.759,65.223,65.904,66.779,68.189,70.614,77.003,7,5.186,77.003
97.700,64.764,65.228,65.910,66.787,68.198,70.628,77.027,7,5.186,77.027
97.800,64.769,65.234,65.917,66.796,68.209,70.643,77.051,7,5.186,77.051
97.900,64.775,65.241,65.926,66.805,68.221,70.658,77.077,7,5.186,77.077
98.000,64.779,65.247,65.931,66.812,68.230,70.671,77.101,7,5.186,77.101
98.100,64.786,65.254,65.940,66.822,68.242,70.688,77.127,7,5.186,77.127
98.200,64.792,65.261,65.949,66.832,68.255,70.703,77.153,7,5.186,77.153
98.300,64.800,65.269,65.959,66.843,68.268,70.721,77.180,7,5.186,77.180
98.400,64.809,65.278,65.968,66.855,68.281,70.738,77.208,7,5.186,77.208
98.500,64.816,65.287,65.977,66.866,68.295,70.837,77.236,7,5.186,77.236
98.600,64.826,65.297,65.989,66.879,68.311,70.857,77.266,7,5.186,77.266
98.700,64.836,65.308,66.001,66.892,68.326,70.876,77.295,7,5.186,77.295
98.800,64.845,65.318,66.011,66.905,68.341,70.895,77.414,7,5.186,77.414
98.900,64.856,65.330,66.026,66.996,68.358,70.915,77.444,7,5.186,77.444
99.000,64.868,65.343,66.040,67.011,68.376,70.938,77.477,7,5.186,77.477
99.100,64.886,65.362,66.058,67.033,68.399,70.966,77.514,7,5.186,77.514
99.200,64.933,65.485,66.108,67.083,68.530,71.022,77.581,7,5.186,77.581
99.300,64.940,65.492,66.117,67.094,68.543,71.038,77.608,7,5.186,77.608
99.400,64.922,65.475,66.102,67.080,68.531,71.031,77.613,7,5.186,77.613
99.500,64.931,65.485,66.111,67.092,68.545,71.049,77.641,7,5.186,77.641
99.600,64.943,65.498,66.127,67.108,68.564,71.073,77.675,7,5.186,77.675
99.700,64.961,65.517,66.146,67.128,68.587,71.099,77.801,7,5.186,77.801
99.800,64.977,65.534,66.240,67.148,68.609,71.127,77.837,7,5.186,77.837
99.900,64.994,65.551,66.258,67.168,68.630,71.233,77.874,7,5.186,77.874
100.000,65.088,65.571,66.279,67.191,68.656,71.261,77.913,7,5.186,77.913
100.100,65.111,65.594,66.304,67.217,68.684,71.295,77.957,7,5.186,77.957
100.200,65.136,65.621,66.331,67.245,68.716,71.329,78.002,7,5.186,78.002
100.300,65.166,65.652,66.363,67.278,68.751,71.369,78.053,7,5.186,78.053
100.400,65.202,65.689,66.401,67.395,68.793,71.415,78.197,7,5.186,78.197
100.500,65.253,65.740,66.453,67.449,68.927,71.475,78.268,7,5.186,78.268
100.600,65.308,65.870,66.586,67.506,68.986,71.620,78.342,7,5.186,78.342
100.700,65.492,65.980,66.695,67.618,69.100,71.737,78.558,7,5.186,78.558
100.800,65.269,65.834,66.476,67.475,68.960,71.603,78.347,7,5.186,78.347
100.900,65.266,65.832,66.474,67.477,68.964,71.611,78.365,7,5.186,78.365
101.000,65.280,65.846,66.490,67.493,68.984,71.634,78.399,7,5.186,78.399
101.100,65.304,65.872,66.593,67.522,69.014,71.669,78.444,7,5.186,78.444
101.200,65.343,65.911,66.633,67.564,69.059,71.717,78.593,7,5.186,78.593
101.300,65.468,65.962,66.686,67.617,69.115,71.778,78.664,7,5.186,78.664
101.400,65.554,66.049,66.772,67.783,69.284,71.953,78.769,7,5.186,78.769
101.500,65.789,66.285,67.010,67.944,69.447,72.121,79.035,7,5.186,79.035
101.600,66.242,66.737,67.464,68.478,69.984,72.665,79.604,7,5.186,79.604
101.700,68.425,68.999,69.728,70.666,72.179,74.875,81.864,7,5.186,81.864
101.800,67.608,68.103,68.832,69.850,71.365,74.062,81.049,7,5.186,81.049
101.900,66.259,66.757,67.486,68.505,70.018,72.712,79.685,7,5.186,79.685
102.000,65.852,66.351,67.082,68.102,69.619,72.317,79.294,7,5.186,79.294
102.100,65.660,66.235,66.968,67.913,69.430,72.130,79.111,7,5.186,79.111
102.200,65.611,66.111,66.845,67.868,69.388,72.092,79.085,7,5.186,79.085
102.300,65.589,66.091,66.826,67.852,69.374,72.084,79.087,7,5.186,79.087
102.400,65.585,66.088,66.824,67.851,69.375,72.088,79.104,7,5.186,79.104
102.500,65.589,66.094,66.831,67.859,69.387,72.104,79.130,7,5.186,79.130
102.600,65.600,66.104,66.843,67.873,69.403,72.124,79.162,7,5.186,79.162
102.700,65.614,66.120,66.859,67.891,69.423,72.149,79.198,7,5.186,79.198
102.800,65.630,66.137,66.878,67.911,69.447,72.177,79.237,7,5.186,79.237
102.900,65.650,66.234,66.899,67.935,69.471,72.207,79.367,7,5.186,79.367
103.000,65.673,66.257,67.001,67.959,69.500,72.239,79.411,7,5.186,79.411
103.100,65.697,66.281,67.027,67.988,69.530,72.274,79.456,7,5.186,79.456
103.200,65.724,66.310,67.056,68.019,69.563,72.393,79.505,7,5.186,79.505
103.300,65.830,66.341,67.088,68.053,69.679,72.434,79.556,7,5.186,79.556
103.400,65.868,66.380,67.128,68.171,69.722,72.482,79.615,7,5.186,79.615
103.500,65.907,66.419,67.168,68.214,69.766,72.530,79.765,7,5.186,79.765
103.600,65.960,66.473,67.224,68.270,69.825,72.593,79.839,7,5.186,79.839
103.700,66.053,66.642,67.394,68.365,69.923,72.777,79.951,7,5.186,79.951
103.800,66.380,66.971,67.724,68.697,70.258,73.118,80.310,7,5.186,80.310
103.900,67.289,67.803,68.557,69.609,71.175,73.963,81.270,7,5.186,81.270
104.000,66.301,66.818,67.572,68.626,70.192,72.980,80.277,7,5.186,80.277
104.100,66.212,66.728,67.486,68.542,70.110,72.902,80.212,7,5.186,80.212
104.200,66.199,66.718,67.475,68.532,70.104,72.900,80.222,7,5.186,80.222
104.300,66.212,66.731,67.490,68.549,70.123,72.924,80.256,7,5.186,80.256
104.400,66.233,66.753,67.513,68.575,70.150,72.956,80.300,7,5.186,80.300
104.500,66.259,66.780,67.542,68.604,70.183,72.993,80.348,7,5.186,80.348
104.600,66.290,66.811,67.573,68.638,70.218,73.032,80.399,7,5.186,80.399
104.700,66.321,66.844,67.608,68.673,70.256,73.158,80.545,7,5.186,80.545
104.800,66.355,66.879,67.643,68.710,70.297,73.203,80.600,7,5.186,80.600
104.900,66.392,66.992,67.760,68.750,70.338,73.249,80.657,7,5.186,80.657
105.000,66.428,67.030,67.799,68.790,70.463,73.297,80.716,7,5.186,80.716
105.100,66.467,67.070,67.839,68.912,70.507,73.346,80.777,7,5.186,80.777
